[2019-04-17 01:43:24.903139] Update: 39 / 1000, Frames: 100000, Success: 0.144, PL: -0.024, VL: 20.779, Ent: 0.272, SAMPLES: 84.0
[2019-04-17 01:44:37.192058] Update: 40 / 1000, Frames: 102500, Success: 0.262, PL: -0.017, VL: 25.620, Ent: 0.259, SAMPLES: 77.0
[2019-04-17 01:45:52.630118] Update: 41 / 1000, Frames: 105000, Success: 0.213, PL: -0.036, VL: 13.395, Ent: 0.244, SAMPLES: 90.0
[2019-04-17 01:46:58.227201] Update: 42 / 1000, Frames: 107500, Success: 0.231, PL: -0.042, VL: 20.095, Ent: 0.230, SAMPLES: 83.0
[2019-04-17 01:48:06.043536] Update: 43 / 1000, Frames: 110000, Success: 0.194, PL: -0.001, VL: 22.852, Ent: 0.215, SAMPLES: 91.0
[2019-04-17 01:49:12.782406] Update: 44 / 1000, Frames: 112500, Success: 0.256, PL: -0.003, VL: 20.107, Ent: 0.200, SAMPLES: 80.0
[2019-04-17 01:50:18.917579] Update: 45 / 1000, Frames: 115000, Success: 0.237, PL: -0.017, VL: 22.057, Ent: 0.189, SAMPLES: 94.0
[2019-04-17 01:51:15.486628] Update: 46 / 1000, Frames: 117500, Success: 0.250, PL: -0.020, VL: 16.049, Ent: 0.174, SAMPLES: 87.0
[2019-04-17 01:52:08.951446] Update: 47 / 1000, Frames: 120000, Success: 0.288, PL: -0.038, VL: 24.146, Ent: 0.164, SAMPLES: 79.0
[2019-04-17 01:52:58.694028] Update: 48 / 1000, Frames: 122500, Success: 0.300, PL: -0.010, VL: 15.664, Ent: 0.151, SAMPLES: 65.0
[2019-04-17 01:53:51.198675] Update: 49 / 1000, Frames: 125000, Success: 0.275, PL: -0.021, VL: 14.091, Ent: 0.141, SAMPLES: 89.0
[2019-04-17 01:54:42.582859] Update: 50 / 1000, Frames: 127500, Success: 0.350, PL: -0.041, VL: 17.937, Ent: 0.131, SAMPLES: 88.0
[2019-04-17 01:55:34.234210] Update: 51 / 1000, Frames: 130000, Success: 0.325, PL: -0.019, VL: 13.341, Ent: 0.120, SAMPLES: 96.0
[2019-04-17 01:56:20.833288] Update: 52 / 1000, Frames: 132500, Success: 0.319, PL: -0.027, VL: 11.951, Ent: 0.109, SAMPLES: 78.0
[2019-04-17 01:57:10.248823] Update: 53 / 1000, Frames: 135000, Success: 0.287, PL: -0.021, VL: 14.835, Ent: 0.098, SAMPLES: 96.0
[2019-04-17 01:57:57.037261] Update: 54 / 1000, Frames: 137500, Success: 0.331, PL: -0.022, VL: 14.953, Ent: 0.087, SAMPLES: 78.0
[2019-04-17 01:58:43.738232] Update: 55 / 1000, Frames: 140000, Success: 0.325, PL: -0.021, VL: 18.439, Ent: 0.075, SAMPLES: 93.0
[2019-04-17 01:59:28.096334] Update: 56 / 1000, Frames: 142500, Success: 0.319, PL: -0.025, VL: 12.321, Ent: 0.067, SAMPLES: 95.0
[2019-04-17 02:00:11.045513] Update: 57 / 1000, Frames: 145000, Success: 0.350, PL: -0.033, VL: 20.846, Ent: 0.059, SAMPLES: 82.0
[2019-04-17 02:00:56.299504] Update: 58 / 1000, Frames: 147500, Success: 0.288, PL: -0.022, VL: 16.884, Ent: 0.050, SAMPLES: 86.0
[2019-04-17 02:01:43.198687] Update: 59 / 1000, Frames: 150000, Success: 0.331, PL: -0.019, VL: 10.010, Ent: 0.040, SAMPLES: 82.0
[2019-04-17 02:02:25.708598] Update: 60 / 1000, Frames: 152500, Success: 0.325, PL: -0.011, VL: 17.827, Ent: 0.033, SAMPLES: 86.0
[2019-04-17 02:03:08.694281] Update: 61 / 1000, Frames: 155000, Success: 0.319, PL: -0.022, VL: 12.969, Ent: 0.027, SAMPLES: 77.0
[2019-04-17 02:03:48.410425] Update: 62 / 1000, Frames: 157500, Success: 0.356, PL: -0.002, VL: 15.627, Ent: 0.019, SAMPLES: 99.0
[2019-04-17 02:04:32.995371] Update: 63 / 1000, Frames: 160000, Success: 0.412, PL: -0.011, VL: 11.575, Ent: 0.012, SAMPLES: 86.0
[2019-04-17 02:05:17.418690] Update: 64 / 1000, Frames: 162500, Success: 0.413, PL: -0.019, VL: 10.801, Ent: 0.005, SAMPLES: 90.0
[2019-04-17 02:06:02.344998] Update: 65 / 1000, Frames: 165000, Success: 0.438, PL: -0.005, VL: 15.640, Ent: -0.001, SAMPLES: 97.0
[2019-04-17 02:06:43.305652] Update: 66 / 1000, Frames: 167500, Success: 0.394, PL: -0.008, VL: 11.768, Ent: -0.008, SAMPLES: 103.0
[2019-04-17 02:07:22.405532] Update: 67 / 1000, Frames: 170000, Success: 0.406, PL: -0.022, VL: 13.002, Ent: -0.014, SAMPLES: 82.0
[2019-04-17 02:08:05.071928] Update: 68 / 1000, Frames: 172500, Success: 0.519, PL: -0.024, VL: 12.924, Ent: -0.019, SAMPLES: 89.0
[2019-04-17 02:08:48.578383] Update: 69 / 1000, Frames: 175000, Success: 0.500, PL: -0.028, VL: 22.288, Ent: -0.027, SAMPLES: 86.0
[2019-04-17 02:09:29.349563] Update: 70 / 1000, Frames: 177500, Success: 0.469, PL: -0.067, VL: 13.528, Ent: -0.034, SAMPLES: 82.0
[2019-04-17 02:10:07.923002] Update: 71 / 1000, Frames: 180000, Success: 0.531, PL: -0.023, VL: 4.839, Ent: -0.038, SAMPLES: 66.0
[2019-04-17 02:10:48.618328] Update: 72 / 1000, Frames: 182500, Success: 0.500, PL: -0.022, VL: 11.594, Ent: -0.045, SAMPLES: 84.0
[2019-04-17 02:11:28.025986] Update: 73 / 1000, Frames: 185000, Success: 0.625, PL: -0.023, VL: 8.777, Ent: -0.051, SAMPLES: 93.0
[2019-04-17 02:12:05.352971] Update: 74 / 1000, Frames: 187500, Success: 0.619, PL: 0.006, VL: 11.495, Ent: -0.055, SAMPLES: 86.0
[2019-04-17 02:12:43.276096] Update: 75 / 1000, Frames: 190000, Success: 0.594, PL: -0.029, VL: 13.192, Ent: -0.062, SAMPLES: 87.0
[2019-04-17 02:13:20.590069] Update: 76 / 1000, Frames: 192500, Success: 0.550, PL: -0.035, VL: 14.107, Ent: -0.066, SAMPLES: 101.0
[2019-04-17 02:13:59.744697] Update: 77 / 1000, Frames: 195000, Success: 0.575, PL: -0.035, VL: 18.878, Ent: -0.069, SAMPLES: 96.0
[2019-04-17 02:14:38.956581] Update: 78 / 1000, Frames: 197500, Success: 0.569, PL: -0.019, VL: 13.302, Ent: -0.075, SAMPLES: 74.0
[2019-04-17 02:15:20.219475] Update: 79 / 1000, Frames: 200000, Success: 0.600, PL: -0.025, VL: 10.884, Ent: -0.081, SAMPLES: 68.0
[2019-04-17 02:16:01.182995] Update: 80 / 1000, Frames: 202500, Success: 0.606, PL: -0.025, VL: 18.127, Ent: -0.087, SAMPLES: 90.0
[2019-04-17 02:16:41.235985] Update: 81 / 1000, Frames: 205000, Success: 0.650, PL: -0.021, VL: 17.566, Ent: -0.092, SAMPLES: 82.0
[2019-04-17 02:17:21.089376] Update: 82 / 1000, Frames: 207500, Success: 0.631, PL: -0.034, VL: 20.720, Ent: -0.099, SAMPLES: 79.0
[2019-04-17 02:17:58.016738] Update: 83 / 1000, Frames: 210000, Success: 0.613, PL: -0.024, VL: 10.282, Ent: -0.106, SAMPLES: 80.0
[2019-04-17 02:18:36.063507] Update: 84 / 1000, Frames: 212500, Success: 0.569, PL: -0.030, VL: 12.989, Ent: -0.111, SAMPLES: 89.0
[2019-04-17 02:19:12.244429] Update: 85 / 1000, Frames: 215000, Success: 0.675, PL: -0.026, VL: 20.551, Ent: -0.116, SAMPLES: 79.0
[2019-04-17 02:19:47.895303] Update: 86 / 1000, Frames: 217500, Success: 0.681, PL: -0.016, VL: 21.152, Ent: -0.122, SAMPLES: 75.0
[2019-04-17 02:20:23.888827] Update: 87 / 1000, Frames: 220000, Success: 0.681, PL: -0.019, VL: 13.303, Ent: -0.129, SAMPLES: 92.0
[2019-04-17 02:21:02.480873] Update: 88 / 1000, Frames: 222500, Success: 0.675, PL: -0.036, VL: 15.751, Ent: -0.134, SAMPLES: 81.0
[2019-04-17 02:21:42.036198] Update: 89 / 1000, Frames: 225000, Success: 0.663, PL: -0.013, VL: 13.258, Ent: -0.140, SAMPLES: 59.0
[2019-04-17 02:22:21.904384] Update: 90 / 1000, Frames: 227500, Success: 0.694, PL: -0.047, VL: 12.655, Ent: -0.145, SAMPLES: 71.0
[2019-04-17 02:23:01.522303] Update: 91 / 1000, Frames: 230000, Success: 0.712, PL: -0.059, VL: 21.595, Ent: -0.151, SAMPLES: 96.0
[2019-04-17 02:23:41.719404] Update: 92 / 1000, Frames: 232500, Success: 0.731, PL: -0.041, VL: 11.698, Ent: -0.158, SAMPLES: 78.0
[2019-04-17 02:24:21.210373] Update: 93 / 1000, Frames: 235000, Success: 0.737, PL: -0.026, VL: 11.372, Ent: -0.166, SAMPLES: 75.0
[2019-04-17 02:24:59.760216] Update: 94 / 1000, Frames: 237500, Success: 0.725, PL: -0.048, VL: 19.627, Ent: -0.173, SAMPLES: 76.0
[2019-04-17 02:25:38.679791] Update: 95 / 1000, Frames: 240000, Success: 0.769, PL: -0.013, VL: 17.726, Ent: -0.180, SAMPLES: 71.0
[2019-04-17 02:26:15.620658] Update: 96 / 1000, Frames: 242500, Success: 0.700, PL: -0.047, VL: 17.866, Ent: -0.185, SAMPLES: 73.0
[2019-04-17 02:26:52.758540] Update: 97 / 1000, Frames: 245000, Success: 0.738, PL: -0.023, VL: 17.269, Ent: -0.191, SAMPLES: 65.0
[2019-04-17 02:27:30.278070] Update: 98 / 1000, Frames: 247500, Success: 0.800, PL: -0.027, VL: 18.423, Ent: -0.196, SAMPLES: 74.0
[2019-04-17 02:28:06.437975] Update: 99 / 1000, Frames: 250000, Success: 0.706, PL: -0.049, VL: 10.665, Ent: -0.204, SAMPLES: 72.0
[2019-04-17 02:28:43.360056] Update: 100 / 1000, Frames: 252500, Success: 0.763, PL: -0.037, VL: 16.339, Ent: -0.209, SAMPLES: 61.0
[2019-04-17 02:29:22.730823] Update: 101 / 1000, Frames: 255000, Success: 0.781, PL: -0.021, VL: 14.283, Ent: -0.214, SAMPLES: 70.0
[2019-04-17 02:29:59.859643] Update: 102 / 1000, Frames: 257500, Success: 0.775, PL: -0.050, VL: 8.469, Ent: -0.221, SAMPLES: 67.0
[2019-04-17 02:30:36.879259] Update: 103 / 1000, Frames: 260000, Success: 0.794, PL: -0.030, VL: 13.768, Ent: -0.224, SAMPLES: 59.0
[2019-04-17 02:31:13.242431] Update: 104 / 1000, Frames: 262500, Success: 0.794, PL: -0.014, VL: 14.559, Ent: -0.229, SAMPLES: 81.0
