[2019-04-15 15:32:17.574234] Update: 0 / 1000, Frames: 2500, Success: 0.069, PL: -0.004, VL: 59.777, Ent: 1.369, SAMPLES: 118.0
[2019-04-15 15:34:18.589650] Update: 1 / 1000, Frames: 5000, Success: 0.050, PL: 0.001, VL: 71.305, Ent: 1.314, SAMPLES: 114.0
[2019-04-15 15:36:42.767390] Update: 2 / 1000, Frames: 7500, Success: 0.100, PL: -0.003, VL: 39.260, Ent: 1.260, SAMPLES: 124.0
[2019-04-15 15:39:15.874919] Update: 3 / 1000, Frames: 10000, Success: 0.056, PL: 0.014, VL: 68.150, Ent: 1.208, SAMPLES: 118.0
[2019-04-15 15:42:44.124202] Update: 4 / 1000, Frames: 12500, Success: 0.062, PL: -0.000, VL: 70.367, Ent: 1.158, SAMPLES: 107.0
[2019-04-15 15:46:44.675302] Update: 5 / 1000, Frames: 15000, Success: 0.088, PL: 0.006, VL: 54.539, Ent: 1.116, SAMPLES: 117.0
[2019-04-15 15:50:45.965859] Update: 6 / 1000, Frames: 17500, Success: 0.094, PL: -0.016, VL: 55.607, Ent: 1.075, SAMPLES: 103.0
[2019-04-15 15:55:32.741184] Update: 7 / 1000, Frames: 20000, Success: 0.056, PL: -0.022, VL: 72.994, Ent: 1.043, SAMPLES: 91.0
[2019-04-15 16:01:25.601726] Update: 8 / 1000, Frames: 22500, Success: 0.013, PL: -0.002, VL: 53.833, Ent: 1.013, SAMPLES: 101.0
[2019-04-15 16:08:54.011196] Update: 9 / 1000, Frames: 25000, Success: 0.044, PL: 0.001, VL: 48.703, Ent: 0.988, SAMPLES: 75.0
[2019-04-15 16:16:17.835233] Update: 10 / 1000, Frames: 27500, Success: 0.081, PL: -0.000, VL: 37.960, Ent: 0.965, SAMPLES: 87.0
[2019-04-15 16:24:39.624321] Update: 11 / 1000, Frames: 30000, Success: 0.044, PL: -0.012, VL: 35.465, Ent: 0.943, SAMPLES: 88.0
[2019-04-15 16:32:50.089182] Update: 12 / 1000, Frames: 32500, Success: 0.050, PL: -0.026, VL: 36.115, Ent: 0.919, SAMPLES: 89.0
[2019-04-15 16:41:24.275919] Update: 13 / 1000, Frames: 35000, Success: 0.094, PL: -0.019, VL: 39.357, Ent: 0.897, SAMPLES: 81.0
[2019-04-15 16:50:25.365405] Update: 14 / 1000, Frames: 37500, Success: 0.094, PL: -0.014, VL: 36.509, Ent: 0.873, SAMPLES: 67.0
[2019-04-15 17:00:10.045089] Update: 15 / 1000, Frames: 40000, Success: 0.062, PL: -0.018, VL: 32.874, Ent: 0.851, SAMPLES: 91.0
[2019-04-15 17:09:16.065740] Update: 16 / 1000, Frames: 42500, Success: 0.094, PL: -0.016, VL: 45.244, Ent: 0.827, SAMPLES: 83.0
[2019-04-15 17:20:40.324478] Update: 17 / 1000, Frames: 45000, Success: 0.050, PL: -0.014, VL: 34.414, Ent: 0.805, SAMPLES: 74.0
[2019-04-15 17:30:57.371424] Update: 18 / 1000, Frames: 47500, Success: 0.050, PL: -0.015, VL: 44.076, Ent: 0.782, SAMPLES: 76.0
[2019-04-15 17:40:24.110134] Update: 19 / 1000, Frames: 50000, Success: 0.075, PL: -0.016, VL: 34.710, Ent: 0.757, SAMPLES: 69.0
[2019-04-15 17:49:36.799494] Update: 20 / 1000, Frames: 52500, Success: 0.075, PL: -0.009, VL: 36.606, Ent: 0.734, SAMPLES: 62.0
[2019-04-15 17:57:37.470638] Update: 21 / 1000, Frames: 55000, Success: 0.050, PL: -0.013, VL: 26.071, Ent: 0.708, SAMPLES: 60.0
[2019-04-15 18:04:18.885568] Update: 22 / 1000, Frames: 57500, Success: 0.119, PL: -0.028, VL: 31.741, Ent: 0.682, SAMPLES: 80.0
[2019-04-15 18:10:40.699883] Update: 23 / 1000, Frames: 60000, Success: 0.056, PL: -0.028, VL: 38.312, Ent: 0.658, SAMPLES: 83.0
[2019-04-15 18:16:22.854964] Update: 24 / 1000, Frames: 62500, Success: 0.094, PL: -0.014, VL: 26.212, Ent: 0.633, SAMPLES: 70.0
[2019-04-15 18:22:05.464128] Update: 25 / 1000, Frames: 65000, Success: 0.062, PL: -0.016, VL: 36.703, Ent: 0.611, SAMPLES: 76.0
[2019-04-15 18:26:50.464465] Update: 26 / 1000, Frames: 67500, Success: 0.081, PL: -0.010, VL: 36.860, Ent: 0.587, SAMPLES: 90.0
[2019-04-15 18:31:02.679995] Update: 27 / 1000, Frames: 70000, Success: 0.075, PL: -0.025, VL: 33.350, Ent: 0.562, SAMPLES: 77.0
[2019-04-15 18:34:42.199352] Update: 28 / 1000, Frames: 72500, Success: 0.062, PL: -0.034, VL: 34.312, Ent: 0.539, SAMPLES: 80.0
[2019-04-15 18:38:21.475717] Update: 29 / 1000, Frames: 75000, Success: 0.106, PL: -0.014, VL: 20.793, Ent: 0.518, SAMPLES: 73.0
[2019-04-15 18:41:28.232038] Update: 30 / 1000, Frames: 77500, Success: 0.138, PL: -0.017, VL: 34.306, Ent: 0.494, SAMPLES: 89.0
[2019-04-15 18:44:06.881457] Update: 31 / 1000, Frames: 80000, Success: 0.106, PL: -0.011, VL: 26.117, Ent: 0.476, SAMPLES: 90.0
[2019-04-15 18:47:13.045688] Update: 32 / 1000, Frames: 82500, Success: 0.156, PL: -0.022, VL: 26.348, Ent: 0.454, SAMPLES: 60.0
[2019-04-15 18:49:35.944968] Update: 33 / 1000, Frames: 85000, Success: 0.125, PL: 0.002, VL: 22.334, Ent: 0.433, SAMPLES: 68.0
[2019-04-15 18:51:52.289537] Update: 34 / 1000, Frames: 87500, Success: 0.138, PL: -0.036, VL: 15.350, Ent: 0.416, SAMPLES: 62.0
[2019-04-15 18:53:32.530287] Update: 35 / 1000, Frames: 90000, Success: 0.138, PL: -0.039, VL: 24.798, Ent: 0.394, SAMPLES: 63.0
[2019-04-15 18:55:04.807619] Update: 36 / 1000, Frames: 92500, Success: 0.206, PL: -0.002, VL: 20.315, Ent: 0.376, SAMPLES: 75.0
